dataset_eval,model,total_n,mean_pass_rate,mean_json_rate,mean_schema_rate,mean_format_rate
ifeval,scratch-gpt,81614,1.000004901119906,0.0011297081383096037,,0.0
ifeval,gemma3:12b,77904,1.0,0.01830457999589238,,
ifeval,gpt-oss:20b,77904,1.0,0.00803553090983775,,
ifeval,llama3.2:3b,77904,1.0,0.03727664818237831,,
ifeval,qwen3:8b,77904,1.0,0.002721298007804477,,
ifeval-fc,llama3.2:3b,90000,0.6422666666666667,0.7704,0.7633111111111112,0.021133333333333334
ifeval-fc,gpt-oss:20b,90000,0.014311111111111111,0.014377777777777778,0.014377777777777778,0.00015555555555555556
ifeval-fc,gemma3:12b,90000,0.007266666666666667,0.008066666666666666,0.008066666666666666,0.00017777777777777779
ifeval-fc,qwen3:8b,90000,0.0010222222222222223,0.0010222222222222223,0.0010222222222222223,0.0
ifeval-fc,scratch-gpt,90000,0.0,0.0,,0.0
