dataset_eval,model,topology_id,n,pass_rate,pass_std,json_rate,schema_rate,format_rate
ifeval,gemma3:12b,C_E_T,12984,1.0,0.0,0.018792359827479975,,
ifeval,gemma3:12b,C_E_T_C,12984,1.0,0.0,0.017097966728280962,,
ifeval,gemma3:12b,Cdelim_E_T,12984,1.0,0.0,0.018176216882316697,,
ifeval,gemma3:12b,Cinterleave_T,12984,1.0,0.0,0.018946395563770795,,
ifeval,gemma3:12b,E_C_T,12984,1.0,0.0,0.018484288354898338,,
ifeval,gemma3:12b,T_C_E,12984,1.0,0.0,0.018330252618607518,,
ifeval,gpt-oss:20b,C_E_T,12984,1.0,0.0,0.0073937153419593345,,
ifeval,gpt-oss:20b,C_E_T_C,12984,1.0,0.0,0.0066235366605052375,,
ifeval,gpt-oss:20b,Cdelim_E_T,12984,1.0,0.0,0.008471965495995071,,
ifeval,gpt-oss:20b,Cinterleave_T,12984,1.0,0.0,0.008163894023413432,,
ifeval,gpt-oss:20b,E_C_T,12984,1.0,0.0,0.008009858287122612,,
ifeval,gpt-oss:20b,T_C_E,12984,1.0,0.0,0.009550215650030808,,
ifeval,llama3.2:3b,C_E_T,12984,1.0,0.0,0.038817005545286505,,
ifeval,llama3.2:3b,C_E_T_C,12984,1.0,0.0,0.03265557609365373,,
ifeval,llama3.2:3b,Cdelim_E_T,12984,1.0,0.0,0.03773875539125077,,
ifeval,llama3.2:3b,Cinterleave_T,12984,1.0,0.0,0.038817005545286505,,
ifeval,llama3.2:3b,E_C_T,12984,1.0,0.0,0.03789279112754159,,
ifeval,llama3.2:3b,T_C_E,12984,1.0,0.0,0.03773875539125077,,
ifeval,qwen3:8b,C_E_T,12984,1.0,0.0,0.00292667898952557,,
ifeval,qwen3:8b,C_E_T_C,12984,1.0,0.0,0.0024645717806531116,,
ifeval,qwen3:8b,Cdelim_E_T,12984,1.0,0.0,0.0027726432532347504,,
ifeval,qwen3:8b,Cinterleave_T,12984,1.0,0.0,0.003234750462107209,,
ifeval,qwen3:8b,E_C_T,12984,1.0,0.0,0.0023105360443622922,,
ifeval,qwen3:8b,T_C_E,12984,1.0,0.0,0.002618607516943931,,
ifeval,scratch-gpt,C_E_T,13608,1.000029394473839,0.002424554127770258,0.001337448559670782,,0.0
ifeval,scratch-gpt,C_E_T_C,13584,1.0,0.0,0.002208480565371025,,
ifeval,scratch-gpt,Cdelim_E_T,13608,1.0,0.0,0.0004409171075837742,,
ifeval,scratch-gpt,Cinterleave_T,13598,1.0,0.0,0.0008824827180467715,,
ifeval,scratch-gpt,E_C_T,13608,1.0,0.0,0.0011757789535567313,,
ifeval,scratch-gpt,T_C_E,13608,1.0,0.0,0.0007348618459729571,,
ifeval-fc,gemma3:12b,C_E_T,15000,0.007866666666666666,0.0883476234865842,0.008666666666666666,0.008666666666666666,0.0
ifeval-fc,gemma3:12b,C_E_T_C,15000,0.0061333333333333335,0.07807766622848368,0.007466666666666667,0.007466666666666667,0.0
ifeval-fc,gemma3:12b,Cdelim_E_T,15000,0.0088,0.09339775983806833,0.008933333333333333,0.008933333333333333,0.0
ifeval-fc,gemma3:12b,Cinterleave_T,15000,0.0072,0.08454961014559281,0.007866666666666666,0.007866666666666666,0.0
ifeval-fc,gemma3:12b,E_C_T,15000,0.005066666666666666,0.07100233548505176,0.0061333333333333335,0.0061333333333333335,0.0
ifeval-fc,gemma3:12b,T_C_E,15000,0.008533333333333334,0.09198412704119531,0.009333333333333334,0.009333333333333334,0.0010666666666666667
ifeval-fc,gpt-oss:20b,C_E_T,15000,0.012533333333333334,0.11125229897470605,0.012666666666666666,0.012666666666666666,0.0002666666666666667
ifeval-fc,gpt-oss:20b,C_E_T_C,15000,0.009466666666666667,0.09683839149407616,0.009466666666666667,0.009466666666666667,0.0
ifeval-fc,gpt-oss:20b,Cdelim_E_T,15000,0.016266666666666665,0.1265034746459378,0.0164,0.0164,0.0004
ifeval-fc,gpt-oss:20b,Cinterleave_T,15000,0.012533333333333334,0.1112522989747061,0.012666666666666666,0.012666666666666666,0.0
ifeval-fc,gpt-oss:20b,E_C_T,15000,0.010933333333333333,0.10399286765602596,0.010933333333333333,0.010933333333333333,0.00013333333333333334
ifeval-fc,gpt-oss:20b,T_C_E,15000,0.024133333333333333,0.153468191236068,0.024133333333333333,0.024133333333333333,0.00013333333333333334
ifeval-fc,llama3.2:3b,C_E_T,15000,0.6349333333333333,0.48146489950170396,0.7618666666666667,0.7561333333333333,0.0192
ifeval-fc,llama3.2:3b,C_E_T_C,15000,0.6421333333333333,0.47938860692690644,0.7718666666666667,0.7644,0.023866666666666668
ifeval-fc,llama3.2:3b,Cdelim_E_T,15000,0.6456,0.478347043884415,0.7713333333333333,0.7648,0.0216
ifeval-fc,llama3.2:3b,Cinterleave_T,15000,0.6369333333333334,0.4808998646990326,0.7605333333333333,0.7545333333333333,0.019866666666666668
ifeval-fc,llama3.2:3b,E_C_T,15000,0.6324,0.48216774990585076,0.7593333333333333,0.7526666666666667,0.019733333333333332
ifeval-fc,llama3.2:3b,T_C_E,15000,0.6616,0.473181114047373,0.7974666666666667,0.7873333333333333,0.022533333333333332
ifeval-fc,qwen3:8b,C_E_T,15000,0.0013333333333333333,0.03649170223275883,0.0013333333333333333,0.0013333333333333333,0.0
ifeval-fc,qwen3:8b,C_E_T_C,15000,0.0006666666666666666,0.0258121413291927,0.0006666666666666666,0.0006666666666666666,0.0
ifeval-fc,qwen3:8b,Cdelim_E_T,15000,0.0016,0.03996931952260634,0.0016,0.0016,0.0
ifeval-fc,qwen3:8b,Cinterleave_T,15000,0.0008,0.02827389775428242,0.0008,0.0008,0.0
ifeval-fc,qwen3:8b,E_C_T,15000,0.0009333333333333333,0.03053726232842312,0.0009333333333333333,0.0009333333333333333,0.0
ifeval-fc,qwen3:8b,T_C_E,15000,0.0008,0.028273897754282355,0.0008,0.0008,0.0
ifeval-fc,scratch-gpt,C_E_T,15000,0.0,0.0,0.0,,0.0
ifeval-fc,scratch-gpt,C_E_T_C,15000,0.0,0.0,0.0,,0.0
ifeval-fc,scratch-gpt,Cdelim_E_T,15000,0.0,0.0,0.0,,0.0
ifeval-fc,scratch-gpt,Cinterleave_T,15000,0.0,0.0,0.0,,0.0
ifeval-fc,scratch-gpt,E_C_T,15000,0.0,0.0,0.0,,0.0
ifeval-fc,scratch-gpt,T_C_E,15000,0.0,0.0,0.0,,0.0
