dataset_eval,topology_id,total_n,mean_pass_rate,mean_json_rate,mean_schema_rate,mean_format_rate
ifeval,C_E_T,65544,1.0000061027706577,0.013734285365555963,,0.0
ifeval,C_E_T_C,65520,1.0,0.012118437118437119,,
ifeval,Cdelim_E_T,65544,1.0,0.013395581594043696,,
ifeval,Cinterleave_T,65534,1.0,0.013885921811578723,,
ifeval,E_C_T,65544,1.0,0.013456609300622483,,
ifeval,T_C_E,65544,1.0,0.013670206273648237,,
ifeval-fc,T_C_E,75000,0.13901333333333332,0.16634666666666667,0.16432,0.004746666666666666
ifeval-fc,Cdelim_E_T,75000,0.13445333333333334,0.15965333333333334,0.15834666666666666,0.0044
ifeval-fc,C_E_T_C,75000,0.13168,0.15789333333333333,0.1564,0.004773333333333333
ifeval-fc,Cinterleave_T,75000,0.13149333333333332,0.15637333333333334,0.15517333333333333,0.003973333333333333
ifeval-fc,C_E_T,75000,0.13133333333333333,0.15690666666666667,0.15576,0.0038933333333333333
ifeval-fc,E_C_T,75000,0.12986666666666666,0.15546666666666667,0.15413333333333334,0.003973333333333333
